bedrooms;bathrooms;sqft_living;sqft_lot;floors;condition;yr_built;price
2;1;940;5040;1;3;1926;212700
3;1.75;1780;13095;1;4;1983;325000
4;2.5;2230;5743;2;3;2002;415000
3;2.5;3570;15151;1;4;1981;935000
3;2.5;1920;15260;2;3;1990;372000
3;1.5;1290;8366;1;3;1957;240000
3;1.75;1880;16262;1;5;1980;334950
4;2.5;2960;4640;2;3;2005;426500
2;1.75;1840;14874;1;3;1952;430000
3;1.5;1890;6183;1;3;1967;400000
3;2.25;1820;6000;1;4;1964;455850
4;3.5;4370;8510;2;3;2003;1965220
3;1.75;1530;10731;1;3;1986;400000
3;1;1030;10480;1;4;1954;397500
3;2.5;2000;1950;3;3;2005;755000
5;1.5;1730;9230;1;3;1962;287000
4;2.5;3620;16000;2;3;1976;480000
3;2.5;2040;9622;2;3;1995;490000
3;2.5;2640;6715;2;3;1991;365000
3;2.5;1600;2244;2;3;2005;260000
4;1;1480;12675;1.5;4;1929;505000
2;1;700;4800;1;3;1922;260000
2;1;700;4800;1;3;1922;430000
4;2.5;3520;12193;2;4;1993;905000
3;2;1650;6408;2;4;1977;440000
4;1;1360;5500;1.5;3;1950;439500
3;2;1350;6696;1;5;1944;270000
3;2.5;1970;6291;2;4;1998;306500
3;2;1470;1656;2;3;2003;380000
4;1.75;1610;9652;1;5;1969;215000
2;1;810;6150;1;3;1950;299900
4;3.5;2820;7809;2;3;1995;1450000
3;1;1900;33888;1.5;4;1942;239950
4;2.5;1830;7345;1;4;1973;494000
4;1.5;1730;7700;1;4;1963;317500
4;2.5;2110;7291;2;4;1977;670000
3;2.5;3060;7831;2;3;2004;650000
4;2.5;2620;7328;2;3;1983;852000
2;1.5;1088;1360;2;3;1983;250000
3;1.5;1400;10853;1;4;1964;264950
2;2;1540;6804;1;5;1942;582500
3;2.5;1540;1564;2;3;1998;384000
3;1.5;2310;3360;1.5;3;1926;817000
4;1.75;1730;9520;1;4;1971;320000
4;2.25;2070;39446;1;3;1977;445800
2;1;900;4500;1;3;1951;263300
3;1;860;6635;1;3;1952;215000
5;4;2980;4500;1.5;3;1921;842500
5;4;2980;4500;1.5;3;1921;850000
5;2.5;2740;12413;2;3;1990;386000
4;2.5;1790;5257;2;3;1996;251100
3;1.75;1750;16748;1;3;1978;435000
4;4;3610;12811;2;3;2000;870000
6;1;1430;20620;2;3;1954;800000
3;1.75;1570;15500;1;4;1968;555000
2;1;2280;37500;2;3;1932;280000
3;1;940;2366;1;3;1916;356000
4;2.5;2920;6000;2;3;2004;675000
4;2.25;2260;11900;2;3;1976;605000
5;2;2000;4211;1.5;4;1908;690500
2;1.75;1440;4225;1;3;2005;437000
5;2;2310;13430;1.5;4;1966;850000
4;2.25;2300;4600;1.5;4;1904;350000
2;2.25;1490;6770;1.5;3;1926;480000
3;2.25;1830;25641;2;3;1989;379500
5;4.5;4440;9784;2;3;2012;600000
4;3.5;4970;16582;2;4;1992;1436000
2;1.5;1000;1075;2;3;2007;303000
4;2.5;4940;10037;1;3;1953;800000
2;2;1980;6000;1.5;5;1906;549000
3;2.5;1560;9600;1;3;1964;324950
2;1;870;6537;1;3;1948;170000
3;1;840;6500;1;5;1969;178000
3;1;1250;8314;1;3;1958;144000
4;2.75;3120;20031;1;4;1954;1580000
2;1;750;7000;1;3;1932;258000
3;1.75;710;5050;1;4;1950;345000
3;1.75;2290;14800;1;3;1965;470000
5;2.5;3750;91681;2;3;1925;2903000
3;1.5;980;7790;1;5;1969;350000
2;1.75;1590;11276;1;4;1972;225500
2;1;940;4000;1;3;1942;473000
3;1.75;1750;9623;1;3;1962;279000
3;1;1460;8227;1;3;1948;470000
3;1.75;1540;4800;1;4;1925;565000
3;2;2560;6800;1;4;1952;695000
3;1.75;1660;37642;1;4;1991;315000
3;2.5;1880;4499;2;3;1993;529000
5;3.75;3500;101494;1.5;3;1967;750000
3;2.25;1840;10500;2;3;1993;481500
3;2;1060;7412;1;3;1987;211000
3;2.25;1790;7500;1;3;1973;455000
2;1;810;4838;1;3;1938;238950
4;3.5;2600;5100;2;3;2003;722500
4;2.5;3230;19193;1;4;1973;795000
4;2.25;2240;9600;2;3;1971;327500
4;3;3400;5100;2;3;2006;585000
4;2;3140;10875;1;3;1939;775000
4;2.5;2780;4200;2;3;2001;645000
4;2.75;2320;12368;1;3;1968;445000
3;1.75;1370;5858;1;3;1987;257950
5;1.75;2230;7560;1;3;1959;375000
3;2.5;1610;7223;2;3;1994;245000
3;2.5;3410;41022;2;3;1990;725000
4;2.5;2810;4922;2;3;2005;702000
3;1.75;1850;14986;2;3;1943;330000
3;1.5;1790;4800;1.5;3;1912;940000
3;1;1150;11396;1.5;4;1950;354500
4;2.75;2420;8700;1.5;4;1914;279950
3;2.25;1580;7034;1;4;1989;284000
5;2;1760;21562;1;3;1959;480000
5;2;1760;21562;1;3;1959;647500
3;2.5;2750;35000;2;3;1993;625000
3;1;920;4875;1;4;1978;152000
3;1;960;10181;1;3;1961;322000
3;1.75;1120;4000;1;4;1916;445000
3;1;1560;3960;1.5;4;1907;595000
3;1;1380;7334;1;3;1981;165000
4;2.5;1940;6206;2;3;1990;278500
3;1.75;1810;10625;1;3;1973;517500
2;1;1100;4200;1;3;1954;343566
4;2.25;1980;9714;1;3;1977;286285
4;1.5;1340;6200;1;5;1959;474905
3;1.75;1680;4800;1;4;1960;550000
4;2.5;2060;16000;2;3;1993;286000
3;3.25;2620;7215;1;4;1980;900000
3;2.25;1610;5159;2;3;1985;449950
4;1.5;1490;7560;2;3;1966;259000
3;2.25;1900;8125;1;3;1969;340000
4;2.5;3440;56192;2;3;1994;785000
2;1;1840;3300;1.5;4;1910;490000
4;2;2330;6250;1;4;1941;344950
3;2;2250;2975;2;4;1905;950000
4;1.75;2000;3988;1;4;1958;810000
2;2.5;3010;16050;1;4;1976;998160
3;1.75;1680;7389;1;3;1979;377000
3;2;1530;6773;1;4;1984;595000
2;1;970;4800;1;3;1911;313300
5;1.75;1550;5225;1.5;4;1941;360000
3;1.75;1660;7350;1;2;1979;188000
3;2.5;3680;203860;1.5;3;1994;755000
5;3.5;3210;4060;2;3;1917;1289000
3;1;1480;13280;2.5;3;1940;455000
5;3.5;3600;9312;2;3;2005;817500
3;2.25;1700;1481;3;3;2002;550000
3;1.75;1680;8725;1;3;1978;260000
3;2;1550;34175;1.5;3;1999;320000
3;3.25;3780;10623;1;3;1999;1153000
4;2.5;2360;7370;1;3;1985;362000
3;2.5;1810;1750;2;3;1997;503500
3;2.5;2290;3475;2;3;2006;653000
4;2.75;3370;12447;2;3;1991;760000
4;1.75;2090;5050;1;4;1916;775000
4;3.75;2130;34689;1.5;3;1955;1339000
5;1.75;2060;10911;1;4;1954;417500
3;1.5;1560;9350;1;4;1969;525000
2;1;730;2400;1;3;1934;217000
4;2.75;2910;6308;1;3;1985;525000
4;2.25;2490;8700;1;3;1976;442500
4;1.75;1710;10440;1;4;1955;525000
4;1.75;1520;10630;1;4;1967;425500
3;2.75;2930;218235;2;3;1990;710000
4;3;3160;10948;1;3;1991;545000
5;2.75;2910;16410;1.5;4;1967;410000
3;2.25;1700;8100;1;3;1980;245000
2;1;810;6697;1;4;1923;194900
4;2.5;2000;5390;2;3;2003;284000
2;1.75;1894;52769;1.5;4;1936;280000
3;1.75;2080;87991;1;3;1970;280000
4;2;1730;5500;1;5;1943;360000
2;1;720;4323;1;3;1942;405000
4;2.5;3560;13981;2;3;2000;865000
4;2;1210;11100;1;4;1955;483300
4;2.5;2130;9268;2;4;1985;355000
3;2.25;1570;8767;1;3;1990;274950
3;4.5;3950;6134;2;3;1998;1925000
3;3.25;3450;15586;2;3;1989;755000
4;5.75;7220;223462;2;3;2000;1940000
3;1.75;1150;9600;1;3;1979;309212
3;2.25;1500;7615;1;3;1984;219950
3;2.5;1300;5150;1.5;4;1920;690000
3;1.75;1290;4000;1;3;1943;250800
3;2;2510;35255;1;3;1994;557500
4;1.75;2320;3825;1.5;5;1926;941000
6;4.75;5480;19401;1.5;5;1936;3650000
4;2.75;2030;8600;1;4;1977;305000
4;1.5;2060;16110;1;4;1949;815000
3;2.5;2920;34527;1;4;1954;1015000
4;3;3330;6990;1.5;5;1928;1240000
3;2.5;2110;8164;2;3;1990;535000
3;1;1175;10454;1;4;1949;775000
3;2;1590;8670;1;3;1994;255000
2;1;1070;9750;1;3;1947;327000
4;2;2720;8819;2;3;1976;560000
4;3.5;2980;6349;2;3;1998;1339000
3;1.75;1160;5200;1;4;1977;199500
4;2.5;3580;97574;2;3;2004;760000
3;2.25;3020;6000;3;3;1994;439000
4;2.25;2380;5250;1;4;1961;527000
3;2.75;2270;13590;1.5;4;1948;199950
3;2.25;1660;8188;2;4;1988;254000
2;1;830;5000;1;4;1921;393000
5;2.25;2480;12614;1;4;1979;585000
2;2;1900;7740;1;4;1923;450000
2;1.75;1670;4008;1;3;2005;565000
5;2.25;2000;7900;1;4;1986;330000
3;2;2320;65340;1.5;3;1992;870000
4;2.5;1860;8117;1;4;1966;585000
3;2.5;2110;208737;2;3;1977;500000
3;2;1400;7384;1;3;1979;225000
3;2;1400;7384;1;3;1979;295000
3;2.75;2850;14800;1;4;1976;775000
3;1;1370;11050;1;3;1981;280000
3;2.5;2170;3200;1.5;5;1923;539000
3;1.75;2570;14033;1;4;1953;567500
4;2.25;1970;7902;1;3;1960;442500
5;3.75;2980;4635;3;3;1997;598200
4;2.5;2300;10843;2;5;1955;610000
3;2.5;1990;4936;2;3;2004;544900
4;2.5;2390;38258;2;3;2001;557500
3;2.5;2160;7500;1;3;1979;532500
4;3.25;3300;15907;2;5;1985;1350000
3;2;1840;2825;1;3;1920;750000
3;2.5;2030;10958;2;3;1983;530000
3;2.5;1400;2036;2;3;2003;346100
4;2.25;2320;16800;2;4;1977;260000
3;1.75;1410;9150;1;5;1959;365000
3;2;1860;42800;1;4;1983;615000
4;2.5;1820;6916;2;3;1994;318400
4;2.5;1910;7172;2;3;1993;498500
3;1.75;1540;7490;1;5;1971;450000
3;2;1430;7905;1;4;1988;200000
3;1;1010;8906;1;5;1968;234000
2;1;940;8384;1;3;1947;121800
3;2.75;2600;5875;1.5;5;1929;805000
4;2.25;2060;7283;1;3;1963;410000
3;2.5;1920;4534;2;3;1986;475000
4;2.5;2900;21074;2;3;1986;1337500
1;1;1020;7920;1;3;1947;269000
4;2.25;2150;9520;2;4;1979;573000
3;2.5;1660;2890;2;3;2001;330000
4;1;1230;7410;1.5;3;1944;252750
2;2.5;2170;7546;1;3;2007;745000
3;2;1280;7633;1;3;1991;280000
4;2.5;2240;6920;1;5;1974;535000
4;1.5;1780;5100;1;3;1953;580000
3;1.75;1840;7200;1;4;1968;301000
4;1.75;1740;7700;1;5;1968;600000
5;3;3040;6604;2;3;2005;538900
3;2.5;2370;4375;2;3;2006;366000
4;2.5;2100;6783;2;3;2003;303000
3;2.25;1470;1578;2;3;2007;432000
2;1.5;1300;6120;1;3;1945;300000
3;3;3420;7826;2;4;1939;908800
3;1.5;1190;4750;1;3;1940;500000
5;2;2080;16117;1;5;1959;254000
5;1.5;2180;4268;1.5;4;1924;470000
3;2;1460;7860;1;5;1967;480000
3;1.75;1530;8503;1;4;1983;536000
4;3.5;4740;8611;2;3;2006;1349000
3;2.25;1980;40887;1;4;1980;550000
3;1.75;1710;6400;1;4;1976;260000
2;1.5;1160;982;2;3;2006;284900
3;2.5;2200;3000;2;3;2002;740000
2;1;1170;5000;1;4;1920;425000
3;1;1120;7500;1;3;1965;230000
3;1.5;1710;4000;2;3;1926;675000
3;1.75;1650;7807;1;3;1986;267500
4;2.5;2840;8820;1;5;1952;814000
4;3;3310;217800;1.5;3;1989;1250000
3;2;1860;7232;1;3;1985;460000
3;2.5;2250;9608;2;3;1994;445000
3;2.5;2890;7027;2;3;2004;715000
3;1.75;2120;5992;1;3;1947;425000
4;2.5;2130;4750;2;3;2009;370000
2;1.75;1170;8200;1;4;1937;302000
4;1.75;2120;7420;1;4;1956;453000
3;1.75;1280;10716;1;4;1969;290000
4;2.5;3170;47502;2;3;1988;1035000
4;2.25;2260;41984;1;4;1967;925000
3;1.75;2930;19876;1;3;1993;600000
3;1.5;1060;5750;1;4;1981;354000
4;1.75;1740;9344;1;3;1978;204950
4;2.5;2990;5400;2;3;2005;675000
4;3.25;3530;20012;2;3;1986;995000
5;2;2960;10960;1;4;1957;800000
3;2.5;1650;3711;2;3;1996;472500
4;2.5;2720;13500;1;3;1969;549950
3;1.75;1516;2897;1;3;1925;575575
4;3.25;4386;12275;1;3;2006;545000
3;2.25;2580;7434;1;3;1963;340000
3;1;960;5512;1;4;1963;225000
2;1.75;1460;10506;1;3;1983;299950
4;3.5;3840;4000;2;3;2001;829900
4;2.5;2090;4200;2;3;2007;340000
4;2.25;2470;7800;1;3;1975;515000
4;2.5;2090;6906;2;4;1992;601000
3;2.5;2070;8581;2;3;1994;470000
3;1;1650;6400;1;4;1954;371500
3;1.75;1880;45738;1;4;1980;550000
4;2.5;2060;7720;2;3;1995;242550
3;1.5;1410;9647;1;3;1961;367500
4;3.5;2770;8763;2;3;1996;359000
3;2;1390;8245;1;2;1984;204900
4;2.75;5440;239580;1;2;1969;850000
3;1.5;1280;4452;2;3;1985;187000
3;2.75;1720;28000;1;4;1958;326000
3;2.75;1720;28000;1;4;1958;340000
6;2.25;3040;28535;1;3;1951;330000
4;3.5;3780;7769;2;3;2001;782000
4;2.5;2670;5974;2;3;1999;612000
3;2;1350;7216;1;3;1964;400000
5;3.5;3490;9680;2;3;1980;941500
2;1.5;870;747;2;3;2004;313000
4;2.25;2410;4250;1.5;5;1929;735000
3;1.75;1640;10123;1;3;1977;471000
3;1;1540;9800;1;4;1950;350000
4;2.5;2370;9601;1;3;1976;530000
4;3;1830;9548;2;3;1991;415000
4;2.25;2330;8994;2;3;1986;639500
4;2.75;2240;27820;1.5;4;1976;580379
2;2.5;1700;2513;2;3;2009;378000
3;2.25;1750;9298;1;4;1969;265000
3;1.75;1100;9750;1;4;1967;212000
4;3;2320;13068;2;3;1998;400000
4;2.5;2540;6491;2;3;1997;750000
5;2.5;3090;12750;1;3;1968;384900
2;1;770;5200;1;5;1969;176000
3;2.75;2370;4632;2;3;2002;350000
3;1;1200;7210;1;4;1977;168000
4;2;2200;3060;1;3;1908;358000
3;2.75;2660;32757;1;4;1975;580000
3;1.75;1600;10280;1;3;1977;442500
2;2.5;1330;1249;3;3;2004;515000
5;2.5;3440;12900;1;4;1958;554000
3;2.5;2510;6320;2;3;1996;659000
4;2.5;2150;10098;1;3;1963;414999
3;1.5;1180;10277;1;3;1983;275000
2;1;680;8640;1;4;1951;193000
4;2.5;2840;4750;2;3;2002;525000
3;2.5;1820;7500;2;3;1985;424000
2;1;1070;5150;1;4;1908;455000
2;1;1250;5650;2;4;1943;463000
4;2.5;2190;6300;1;3;1960;1100000
3;1.75;3000;5413;2;4;1963;523000
4;1.75;2270;9830;1;4;1959;615000
4;4;4500;11795;2;3;1991;1515000
5;4;3400;5000;2;3;1900;870000
3;2.5;2830;9680;2;3;1991;710000
3;1;960;9563;1;5;1967;215000
2;1;1530;6450;1;4;1920;590000
5;2.5;2500;13034;1;3;1962;323000
4;2;1560;7569;1.5;4;1966;279000
3;2.25;2070;7207;1;3;1973;535100
5;2.25;2710;19800;1;5;1959;830000
4;2.5;3150;4203;2;3;2002;815000
3;2.25;1880;10880;1;3;1975;535900
3;1;1250;8800;1;3;1955;230000
4;1.75;2290;8142;1;4;1969;325500
3;2.25;1990;4331;2;3;1997;359000
3;2.5;2100;5824;2;3;1999;505000
3;1;940;8400;1;5;1958;253905
3;1.75;1640;4860;1;3;1965;369950
3;2.25;1860;8378;2;3;1995;350000
4;2.25;2100;2500;3;3;2001;650000
3;1.75;1500;15246;1;3;1925;295000
3;1.75;1680;28046;1;3;1948;620000
2;2.5;3900;920423;2;3;2009;1998000
3;1;1400;7410;1;3;1944;246000
3;2.75;2600;12860;1;3;1965;430000
3;2;1440;4859;2;2;1921;509990
4;1.75;1870;9500;1;4;1962;490000
4;2.75;2960;10454;1;3;1979;385000
4;2.5;2440;6733;2;3;1999;769000
2;1;1122;9100;1;4;1960;185000
3;1.5;1060;10464;1;4;1973;303500
4;2.5;2150;8165;1;3;1957;468000
4;2.5;3100;10000;2;3;1978;449950
2;1.5;880;1805;2;3;1999;235000
4;2.5;2490;34947;2;3;1985;520000
2;1;1080;9067;1;3;1951;203000
5;2.5;2530;10190;1;4;1960;657000
3;1;1200;7800;1;4;1954;275000
4;2.25;2850;7453;2;3;1991;540000
4;2.5;2950;4502;2;3;2005;455000
2;1.75;1160;6828;1;3;1941;458500
4;3.5;3420;4751;2;3;2003;549900
3;1.75;2240;10578;2;5;1923;750000
4;1.75;1450;8891;1.5;3;1962;235000
4;2.5;1820;7930;2;5;1989;286000
4;3.5;4700;13730;2;3;1958;2650000
4;1.75;2430;14000;1;4;1963;602000
3;1.5;1960;4080;1.5;3;1915;640000
3;1.75;1440;10920;1;4;1977;267000
4;2.5;2730;4385;2;3;2001;712000
2;1;910;9000;1;3;1923;244500
2;1;910;9000;1;3;1923;301000
4;2.5;2430;6325;2;4;1919;990000
4;2.75;3350;6500;2;3;1999;739999
4;1.75;2320;4322;1;3;1910;480000
3;2.5;1260;1622;3;3;2009;305000
3;2;1980;3525;1.5;4;1932;703300
4;1.5;1580;8468;2;4;1971;265000
4;2.5;2710;35009;2;3;1992;600000
3;1;1400;9750;1;3;1968;253000
4;2.5;2410;7950;2;3;1997;617950
4;3.25;1790;2460;2;4;2000;385000
3;2;1640;9234;1;5;1967;319000
3;2.5;1670;8023;1;5;1960;696000
2;1;970;5750;1;4;1932;345000
3;2.5;1610;1778;3;3;2002;380000
4;1.75;2060;26036;1;4;1947;647500
3;2.5;3570;35271;2;3;1997;725000
3;1.75;1400;7735;1;4;1989;269950
4;2.5;3470;32109;2;3;1995;875000
3;1;1210;9525;1;3;1955;299950
4;3.25;3930;10929;2;3;2006;1875000
2;1;990;4802;1;3;1947;430000
5;2.5;2200;4942;2;3;1989;495000
3;1.5;1510;16200;1;3;1970;275000
3;1;1620;5040;1;3;1964;333000
3;2.25;1580;7941;2;4;1986;247000
3;1.75;1260;15000;1.5;4;1983;204555
3;2;2190;13673;1;4;1994;432000
3;1.75;1230;13056;1;4;1962;175000
4;2.5;2030;7140;1;4;1968;556300
2;1;780;3475;1;4;1930;286000
2;1.5;1110;1200;3;3;2000;320000
3;2.5;2790;53143;2;4;1991;815000
4;1.75;1660;10757;1;3;1980;385000
4;1;3410;5000;2;5;1910;1039000
4;2.25;2390;13002;2;3;1987;350000
4;2.5;1850;5880;2;3;1998;277000
6;2;2500;5200;1;3;1966;415000
3;1;1000;8320;1;5;1951;295000
4;2;2450;5000;2;5;1919;969000
4;1.75;1440;6144;1;5;1947;339888
3;2.25;1660;7003;2;3;1996;269950
3;2.5;2510;4600;2;3;2006;1185000
4;2.5;3090;12511;2;4;1998;780000
3;1;860;5185;1;4;1968;198000
2;1;1220;28703;1;4;1953;350000
3;1;1010;7680;1;4;1967;350000
4;2.25;2390;7350;2;3;1990;319000
4;2.25;3340;8000;2;4;1973;311000
5;3.25;3620;4650;2;3;2004;394000
5;2.25;4200;5800;2.5;4;1906;1335000
5;2.75;3831;13800;2;3;1959;2700000
3;1;1980;9540;1;3;1949;396000
4;1.75;1790;8372;1;4;1976;809000
3;2;1580;7400;1;3;1977;480000
6;1.75;2460;6000;1;4;1913;535000
5;2.75;2110;5120;2;3;1947;425000
3;2.5;1470;1204;3;3;2006;408000
4;2.5;3510;13100;2;4;1966;1255000
1;0.75;520;2885;1;4;1947;310000
3;2.5;1950;7421;2;3;1996;292000
2;1;770;9715;1;4;1942;217000
4;2.5;2250;6064;2;3;2005;398500
3;3;4040;7200;1.5;4;1930;2250000
4;1.75;2360;6000;1;3;1955;700000
4;2.5;2330;45860;2;3;1989;585000
3;1;1720;8910;1;4;1954;399950
3;1.75;1900;8540;1;3;1980;235000
3;1;1040;6800;1;5;1951;212000
3;2;2070;9195;1;3;1982;310000
3;2;2070;9195;1;3;1982;539000
3;3;1550;1608;2;3;2001;390000
3;2.5;2020;11935;1;4;1976;560000
5;2.5;3320;9024;2;3;1999;800000
4;3.25;4130;112521;2;3;1978;1900000
5;2;2030;9804;1;3;1963;472000
3;1.75;1770;7875;1;4;1958;502550
4;3.25;3330;7809;2;3;2004;830000
4;2.5;2260;9686;1;4;1965;224950
3;2.5;1950;6871;2;3;1997;375000
3;2.5;2930;19900;1.5;3;1983;645000
3;2.75;1960;2500;1.5;5;1926;599000
4;2.5;2980;12534;2;3;1996;515000
2;1;780;6685;1;4;1948;135000
3;2.5;1650;4218;2;3;2000;485000
3;3.25;4030;12765;2;4;1975;890000
3;1;1010;10125;1;4;1972;215000
3;1;1190;9600;1;3;1981;299500
2;1;1050;8750;1;4;1951;800000
3;2.5;1560;4244;2;3;2002;275000
3;1.5;1490;7800;1;3;1963;256400
2;1;770;8149;1;4;1948;310000
1;1;620;5100;1;3;1954;385000
3;1.5;1200;9120;1;3;1963;203000
4;2;2120;6865;1;3;1954;285000
3;2.5;2330;3610;2;3;1999;473975
3;1.75;2000;9760;1;4;1978;320000
5;2.75;2820;4608;1;3;1967;599000
3;2;2040;4800;1;4;1925;580000
4;2.25;1700;7056;2;3;1999;269500
2;1;820;6200;1;4;1954;274000
2;1.75;1315;2162;2;4;1974;347000
3;1.75;1390;10905;1;3;1957;270000
3;2;1890;12017;1;3;1949;1430000
3;1.75;1460;7226;1;3;1993;220000
3;1;1480;15416;1;4;1955;243000
3;1.75;1840;4030;1;5;1925;457500
2;1.75;1880;7208;1;3;1951;340000
4;1.5;1910;5000;1.5;3;1912;657500
4;2.5;2220;4720;2;3;1998;332500
3;2;1410;10015;1;3;1993;340000
4;3;3380;16133;1;3;1959;350000
4;2.5;1950;5602;1;5;1966;428000
4;2.5;2400;8320;2;3;1999;515055
3;1.75;1560;8968;1;4;1972;450000
3;1;1040;8910;1;3;1943;190000
4;2.75;3090;16538;3;4;1919;1000000
3;2.5;1850;4600;2;3;2005;299000
2;1;1200;2500;2;3;1927;508000
4;2.25;2190;3746;2;3;2005;294000
2;1;1380;5820;1;3;1918;320000
5;2.75;3710;8674;2;3;1996;641000
3;2.5;2320;98445;1;4;1978;675000
3;1.5;1110;10296;1;5;1964;255000
3;2.5;1830;4997;2;3;2004;286651
4;2.5;2460;45738;1;4;1969;607500
3;1;1270;6500;1;4;1956;765000
4;1.75;1700;40973;1;3;1961;334950
3;1;1130;9147;1;5;1952;426000
3;1.75;1640;18730;1.5;4;1946;775000
2;1.5;1040;8526;1;5;1953;343000
4;2.5;2320;7800;2;3;1986;470101
3;1.5;1200;7800;1;4;1958;195000
4;1;1720;4410;1.5;3;1928;772500
3;1.5;2330;11740;1;3;1954;450000
4;3.75;4410;9231;3;3;2001;1437500
4;1.75;1650;8560;1;3;1970;525000
3;1.5;1370;11400;2;3;1980;280000
3;2.5;1770;8640;1;3;1986;270000
3;2.25;1410;1332;3;3;2005;406100
2;1.75;1710;4187;1;3;1987;332544
2;1;790;8250;1;3;1947;110000
6;2.25;2770;5854;1.5;3;1921;685000
4;1;1260;8505;1.5;5;1951;461000
3;2.25;2300;8067;1;4;1979;615000
2;1;1070;3000;1;4;1926;550000
4;3.5;3850;8100;2;3;1995;1060000
3;2.5;2320;219978;2;4;1993;685000
5;2.5;2870;16238;2;4;1962;1555000
4;2.5;1830;5175;2;3;2003;312000
3;1.75;1990;9594;1;3;1977;507500
3;1;1110;9827;1;3;1966;217000
3;2.25;1830;13477;1;4;1981;439000
6;3.5;3600;6875;2;3;2004;620000
4;2.5;3210;8532;2;3;1998;915000
4;2;1490;5300;1;3;1977;425000
2;1;990;5643;1;3;1947;435000
3;2.25;1646;12414;2;3;1996;305000
2;1;720;4000;1;3;1918;276000
3;2.25;2310;7200;2;3;1990;327500
3;2.5;2670;10481;2;3;2003;810000
3;3.25;3060;9055;2;3;1994;715000
3;1.5;1380;11760;1;4;1963;272000
2;1;700;5559;1;5;1949;266000
3;1.5;1710;8364;2;3;1944;543000
3;2.5;1450;8064;1;3;1984;400000
5;2.25;2060;9000;1;4;1961;509500
3;3.5;2380;6250;2;3;1997;495000
4;2.5;2760;5564;2;3;2001;424950
3;1;940;10875;1;3;1957;230000
4;1.5;1760;6150;1.5;3;1951;235000
3;2;1360;8752;1;4;1942;763000
3;1.75;2010;6150;2;5;1939;350000
3;1.5;2160;2260;2;5;1917;900000
3;1;930;6060;1;4;1973;250000
3;2.5;1020;2040;2;3;2004;225000
2;2;1360;5433;1;3;1974;255000
4;1.75;1720;7200;1;3;1974;161700
3;3;1790;13350;1;3;1988;336000
3;1;1150;6800;1;3;1954;410500
4;3.5;2710;14016;2;4;1968;502700
3;2.5;2400;9601;1;5;1977;505000
3;1;1660;7650;1.5;3;1910;250000
3;1;1660;7650;1.5;3;1910;570000
4;2.5;2290;8796;2;3;1994;349900
3;2.5;2870;25663;2;3;1988;465000
4;3.25;4240;25639;2;3;1989;625000
3;1.75;1800;5102;1;3;1952;655000
4;1.75;2960;11347;1;4;1946;469000
3;2.25;1980;7200;1;3;1964;355000
3;2.5;1730;2631;2;3;2001;596000
4;2.5;3020;36893;2;3;1986;790000
4;2.25;4470;86225;2;3;1991;885000
4;3.25;2830;4000;2;3;1912;1030000
4;1.75;2120;5400;1;4;1941;710000
3;2.5;2150;9266;2;3;1988;428040
5;2.25;3510;13843;1;3;1959;1370000
2;1;970;3400;1;3;1924;546000
4;1;1360;5766;1.5;5;1951;540000
3;2.5;1470;3000;1;3;1985;435000
4;2.25;3040;10283;1;4;1984;540000
2;1;860;7204;1;3;1918;284000
2;1;820;5700;1;5;1942;208000
3;1.75;1900;7076;1;3;1977;315000
2;1;1330;5510;1;3;1910;417500
3;1.75;1240;38095;1;3;1978;345000
3;2.5;1330;1064;3;3;2004;375000
3;1.75;1880;12821;1;3;1959;389800
3;1.75;1890;7560;1;3;1973;475000
4;2.25;2250;41688;2;3;1980;569000
5;4.25;4650;108464;2;3;1999;985000
3;2.5;1830;8022;2;3;1987;532000
2;1;720;5000;1;5;1951;280000
4;2;1960;50112;1;4;1963;435000
3;1;1220;71191;1;3;1952;223000
2;1;1800;119790;1;4;1947;390000
3;1.75;1340;12800;1;3;1981;315000
3;3;1740;3700;1;3;1982;612000
3;1.75;1680;2400;1;5;1922;591000
4;2.25;3220;8436;2;3;1968;800000
3;2;1610;8400;1;3;1990;225000
2;3;3160;66646;2;3;1993;589900
4;2.5;2520;13156;1;3;1979;565000
3;1.5;2120;8448;1;3;1940;650000
3;2.5;2090;8505;2;3;1951;499000
3;1;1330;20562;1.5;3;1959;280000
3;2.5;2420;7500;1;4;1944;649950
3;1.75;1510;6360;1;4;1954;420000
4;2.5;2120;5293;2;3;2003;319990
3;2;1850;16535;1;3;1992;265000
3;1.75;2300;16474;1;3;1984;482000
3;2.25;2600;14810;1;4;1956;452000
4;4.25;5180;13077;2;3;1998;1488000
2;1;1810;8527;1.5;4;1943;375000
5;3;2190;4900;2;5;1940;588000
4;2.5;2500;10215;2;3;1998;635000
4;2.5;1890;6962;2;3;1997;280500
2;1.75;2040;8600;1;4;1985;210500
3;2;1310;7000;1;4;1979;196500
5;3.5;4010;8510;2;5;1971;1395000
3;1.75;1780;8033;1;2;1977;475000
3;2.5;1980;9061;2;4;1987;550000
3;3.25;3690;7200;2;3;2007;1580000
3;1.75;1540;6687;1;3;1991;240000
3;1;1130;8100;1.5;3;1934;272000
3;2.75;2480;209199;1.5;3;2000;408506
3;2.5;2580;7500;2;3;1991;640000
4;2.5;2010;7226;2;3;1995;316000
4;2;2320;12000;1;3;1943;299000
2;2.25;1180;2090;2;3;2004;447500
4;2.5;3180;21904;2;3;2000;736500
