Genero;Edad;Altura;Peso;Antecedentes_sobrepeso;Fruta_diaria;Verduras_semanales;Metodo_transporte;IMC;Estado
Mujer;36;178;64;No;2;12;Coche;20.2;Normal
Hombre;54;174;63;Si;4;10;Transporte_Publico;20.81;Normal
Mujer;26;167;91;Si;0;2;Transporte_Publico;32.63;Obesidad
Mujer;44;185;68;Si;5;14;Transporte_Publico;19.87;Normal
Hombre;47;158;69;No;1;3;Transporte_Publico;27.64;Sobrepeso
Mujer;46;188;101;Si;1;3;Transporte_Publico;28.58;Sobrepeso
Mujer;24;166;68;No;3;14;Transporte_Publico;24.68;Normal
Mujer;52;178;101;No;1;2;Transporte_Publico;31.88;Obesidad
Mujer;32;154;45;No;5;9;Transporte_Publico;18.97;Normal
Hombre;40;190;94;No;1;3;Coche;26.04;Sobrepeso
Mujer;47;169;93;Si;0;4;Coche;32.56;Obesidad
Mujer;29;175;59;Si;5;14;Coche;19.27;Normal
Hombre;56;169;52;No;2;5;Transporte_Publico;18.21;Delgadez
Hombre;42;168;59;Si;3;8;Transporte_Publico;20.9;Normal
Hombre;59;149;68;Si;0;4;Transporte_Publico;30.63;Obesidad
Mujer;64;152;68;Si;1;5;Transporte_Publico;29.43;Sobrepeso
Mujer;54;161;50;Si;4;13;Transporte_Publico;19.29;Normal
Mujer;54;175;74;No;2;10;Transporte_Publico;24.16;Normal
Mujer;44;196;77;Si;3;7;Transporte_Publico;20.04;Normal
Mujer;31;178;69;Si;2;7;Transporte_Publico;21.78;Normal
Hombre;65;160;42;Si;1;7;Transporte_Publico;16.41;Delgadez
Hombre;30;189;95;No;1;3;Transporte_Publico;26.6;Sobrepeso
Hombre;65;156;39;Si;1;4;Transporte_Publico;16.03;Delgadez
Hombre;59;176;63;No;5;13;Transporte_Publico;20.34;Normal
Hombre;25;191;75;No;3;10;Andando;20.56;Normal
Hombre;61;194;118;Si;2;3;Coche;31.35;Obesidad
Hombre;19;179;100;Si;0;4;Coche;31.21;Obesidad
Hombre;34;161;41;Si;1;6;Transporte_Publico;15.82;Delgadez
Hombre;23;154;62;Si;1;3;Transporte_Publico;26.14;Sobrepeso
Mujer;24;176;100;No;1;3;Transporte_Publico;32.28;Obesidad
Hombre;30;189;106;Si;2;5;Coche;29.67;Sobrepeso
Hombre;51;192;74;Si;5;12;Coche;20.07;Normal
Mujer;42;151;70;No;2;3;Transporte_Publico;30.7;Obesidad
Mujer;48;166;58;Si;5;12;Transporte_Publico;21.05;Normal
Hombre;35;170;80;No;2;6;Transporte_Publico;27.68;Sobrepeso
Mujer;44;168;66;Si;4;11;Transporte_Publico;23.38;Normal
Mujer;65;170;90;No;0;1;Transporte_Publico;31.14;Obesidad
Hombre;41;158;58;Si;2;10;Transporte_Publico;23.23;Normal
Hombre;25;167;70;No;1;4;Transporte_Publico;25.1;Sobrepeso
Mujer;25;151;56;No;5;9;Transporte_Publico;24.56;Normal
Mujer;21;162;56;No;4;12;Transporte_Publico;21.34;Normal
Hombre;23;169;70;No;4;11;Transporte_Publico;24.51;Normal
Hombre;33;170;89;No;0;2;Transporte_Publico;30.8;Obesidad
Mujer;49;172;80;No;2;4;Transporte_Publico;27.04;Sobrepeso
Hombre;46;148;47;No;4;8;Transporte_Publico;21.46;Normal
Hombre;39;182;69;Si;4;8;Transporte_Publico;20.83;Normal
Mujer;24;176;61;Si;2;12;Coche;19.69;Normal
Hombre;44;157;37;Si;2;3;Transporte_Publico;15.01;Delgadez
Mujer;31;147;32;No;3;8;Transporte_Publico;14.81;Delgadez
Hombre;64;173;95;Si;0;2;Transporte_Publico;31.74;Obesidad
Hombre;37;156;80;No;2;2;Transporte_Publico;32.87;Obesidad
Hombre;25;190;83;No;3;11;Transporte_Publico;22.99;Normal
Hombre;48;155;62;Si;2;5;Transporte_Publico;25.81;Sobrepeso
Mujer;32;180;68;No;2;7;Transporte_Publico;20.99;Normal
Hombre;55;147;53;No;3;9;Coche;24.53;Normal
Mujer;54;176;75;No;2;10;Transporte_Publico;24.21;Normal
Hombre;45;178;100;No;0;3;Coche;31.56;Obesidad
Hombre;20;186;67;Si;5;9;Coche;19.37;Normal
Hombre;55;155;74;Si;2;1;Transporte_Publico;30.8;Obesidad
Hombre;23;163;64;Si;3;9;Transporte_Publico;24.09;Normal
Mujer;29;175;80;Si;2;5;Coche;26.12;Sobrepeso
Hombre;38;165;70;Si;1;5;Transporte_Publico;25.71;Sobrepeso
Mujer;36;174;61;Si;2;12;Transporte_Publico;20.15;Normal
Mujer;46;189;102;No;1;6;Transporte_Publico;28.55;Sobrepeso
Mujer;19;175;100;No;0;4;Transporte_Publico;32.65;Obesidad
Mujer;35;186;87;No;1;4;Transporte_Publico;25.15;Sobrepeso
Hombre;27;150;45;No;4;11;Transporte_Publico;20;Normal
Hombre;56;158;72;No;2;3;Transporte_Publico;28.84;Sobrepeso
Mujer;52;182;74;No;4;13;Coche;22.34;Normal
Mujer;19;167;48;No;2;4;Coche;17.21;Delgadez
Mujer;24;153;78;Si;2;2;Coche;33.32;Obesidad
Mujer;55;170;62;Si;4;7;Coche;21.45;Normal
Hombre;24;196;89;No;2;7;Coche;23.17;Normal
Hombre;47;151;32;No;3;4;Coche;14.03;Delgadez
Mujer;43;197;105;No;2;3;Transporte_Publico;27.06;Sobrepeso
Mujer;62;176;99;Si;1;4;Transporte_Publico;31.96;Obesidad
Hombre;63;169;71;Si;2;10;Transporte_Publico;24.86;Normal
Hombre;35;188;95;No;1;3;Coche;26.88;Sobrepeso
Hombre;59;158;45;No;3;7;Transporte_Publico;18.03;Delgadez
Hombre;32;189;90;No;2;5;Transporte_Publico;25.2;Sobrepeso
Hombre;41;186;97;No;2;6;Transporte_Publico;28.04;Sobrepeso
Mujer;56;147;37;No;1;6;Coche;17.12;Delgadez
Hombre;43;150;48;No;5;12;Transporte_Publico;21.33;Normal
Hombre;64;170;84;Si;1;5;Coche;29.07;Sobrepeso
Hombre;39;192;86;No;4;12;Coche;23.33;Normal
Mujer;53;153;57;Si;5;10;Coche;24.35;Normal
Mujer;43;150;69;Si;1;4;Transporte_Publico;30.67;Obesidad
Mujer;41;188;72;Si;2;7;Transporte_Publico;20.37;Normal
Hombre;29;161;74;Si;1;6;Coche;28.55;Sobrepeso
Hombre;47;190;94;No;1;3;Transporte_Publico;26.04;Sobrepeso
Hombre;59;197;91;Si;4;12;Transporte_Publico;23.45;Normal
Hombre;59;151;40;No;1;5;Transporte_Publico;17.54;Delgadez
Hombre;20;160;82;Si;2;3;Transporte_Publico;32.03;Obesidad
Hombre;19;147;63;No;1;5;Transporte_Publico;29.15;Sobrepeso
Hombre;63;156;56;Si;2;11;Transporte_Publico;23.01;Normal
Hombre;34;195;83;Si;5;13;Coche;21.83;Normal
Hombre;61;170;66;Si;2;12;Transporte_Publico;22.84;Normal
Hombre;59;167;62;Si;5;7;Transporte_Publico;22.23;Normal
Hombre;42;191;84;Si;5;13;Transporte_Publico;23.03;Normal
Hombre;62;185;98;No;2;6;Transporte_Publico;28.63;Sobrepeso
Hombre;44;166;88;No;1;4;Transporte_Publico;31.93;Obesidad
Mujer;64;179;79;No;4;9;Transporte_Publico;24.66;Normal
Mujer;44;196;107;Si;2;5;Coche;27.85;Sobrepeso
Mujer;51;152;34;Si;1;4;Coche;14.72;Delgadez
Hombre;48;156;77;Si;1;3;Transporte_Publico;31.64;Obesidad
Mujer;47;162;71;Si;2;6;Coche;27.05;Sobrepeso
Mujer;47;174;91;Si;1;2;Coche;30.06;Obesidad
Hombre;20;161;45;No;3;3;Transporte_Publico;17.36;Delgadez
Hombre;53;147;53;No;5;14;Transporte_Publico;24.53;Normal
Hombre;65;168;93;No;2;3;Transporte_Publico;32.95;Obesidad
Hombre;31;155;78;No;1;1;Coche;32.47;Obesidad
Hombre;45;193;115;Si;1;3;Transporte_Publico;30.87;Obesidad
Mujer;64;183;88;Si;2;5;Transporte_Publico;26.28;Sobrepeso
Hombre;40;167;82;No;1;4;Coche;29.4;Sobrepeso
Mujer;40;175;79;Si;2;4;Transporte_Publico;25.8;Sobrepeso
Hombre;24;192;88;No;5;11;Transporte_Publico;23.87;Normal
Mujer;41;187;75;Si;2;10;Transporte_Publico;21.45;Normal
Hombre;52;147;54;Si;3;8;Transporte_Publico;24.99;Normal
Mujer;38;155;64;Si;2;5;Transporte_Publico;26.64;Sobrepeso
Hombre;35;161;44;No;1;2;Transporte_Publico;16.97;Delgadez
Mujer;18;193;100;Si;1;4;Transporte_Publico;26.85;Sobrepeso
Hombre;36;181;66;Si;5;13;Transporte_Publico;20.15;Normal
Hombre;18;184;109;No;0;2;Transporte_Publico;32.2;Obesidad
Mujer;58;147;70;Si;0;1;Coche;32.39;Obesidad
Hombre;24;148;69;No;0;2;Transporte_Publico;31.5;Obesidad
Mujer;27;168;93;No;0;1;Transporte_Publico;32.95;Obesidad
Hombre;57;166;62;Si;5;11;Transporte_Publico;22.5;Normal
Hombre;30;150;66;No;1;5;Transporte_Publico;29.33;Sobrepeso
Mujer;20;173;96;Si;1;3;Coche;32.08;Obesidad
Hombre;56;177;92;Si;2;4;Coche;29.37;Sobrepeso
Mujer;40;149;71;Si;2;3;Coche;31.98;Obesidad
Hombre;48;188;84;No;4;11;Coche;23.77;Normal
Hombre;18;157;64;No;2;3;Coche;25.96;Sobrepeso
Hombre;47;151;58;No;1;5;Transporte_Publico;25.44;Sobrepeso
Mujer;52;178;84;No;1;3;Coche;26.51;Sobrepeso
Hombre;40;193;88;Si;5;11;Transporte_Publico;23.62;Normal
Mujer;53;181;89;Si;2;4;Transporte_Publico;27.17;Sobrepeso
Mujer;32;148;55;Si;2;3;Transporte_Publico;25.11;Sobrepeso
Hombre;44;149;48;Si;4;10;Transporte_Publico;21.62;Normal
Mujer;19;180;73;No;3;10;Coche;22.53;Normal
Mujer;33;155;65;No;1;6;Coche;27.06;Sobrepeso
Hombre;58;176;67;Si;3;7;Coche;21.63;Normal
Mujer;27;147;69;No;2;2;Transporte_Publico;31.93;Obesidad
Hombre;47;168;77;No;1;3;Transporte_Publico;27.28;Sobrepeso
Hombre;45;190;85;No;5;11;Coche;23.55;Normal
Hombre;38;165;78;No;2;5;Transporte_Publico;28.65;Sobrepeso
Hombre;55;163;69;Si;1;3;Transporte_Publico;25.97;Sobrepeso
Mujer;21;154;49;Si;4;7;Coche;20.66;Normal
Hombre;62;150;71;No;2;3;Transporte_Publico;31.56;Obesidad
Hombre;39;194;105;Si;2;5;Coche;27.9;Sobrepeso
Mujer;28;177;57;Si;2;3;Coche;18.19;Delgadez
Mujer;23;184;109;No;1;2;Transporte_Publico;32.2;Obesidad
Hombre;18;167;81;Si;2;3;Coche;29.04;Sobrepeso
Hombre;27;150;45;No;5;13;Transporte_Publico;20;Normal
Hombre;32;176;82;No;2;4;Transporte_Publico;26.47;Sobrepeso
Hombre;31;167;53;No;4;12;Transporte_Publico;19;Normal
Hombre;55;156;71;No;2;5;Transporte_Publico;29.17;Sobrepeso
Hombre;39;181;65;No;2;12;Coche;19.84;Normal
Hombre;27;157;57;Si;4;13;Transporte_Publico;23.12;Normal
Hombre;42;174;93;No;2;4;Transporte_Publico;30.72;Obesidad
Hombre;56;185;90;Si;2;3;Transporte_Publico;26.3;Sobrepeso
Mujer;51;196;97;Si;2;3;Transporte_Publico;25.25;Sobrepeso
Mujer;59;198;87;No;4;12;Coche;22.19;Normal
Hombre;46;165;69;No;1;4;Transporte_Publico;25.34;Sobrepeso
Mujer;20;155;65;Si;1;3;Coche;27.06;Sobrepeso
Hombre;55;181;74;No;4;7;Transporte_Publico;22.59;Normal
Hombre;26;171;94;No;0;4;Transporte_Publico;32.15;Obesidad
Hombre;63;176;71;Si;2;8;Transporte_Publico;22.92;Normal
Hombre;24;175;57;No;2;12;Transporte_Publico;18.61;Normal
Hombre;35;172;75;No;1;3;Coche;25.35;Sobrepeso
Hombre;35;197;120;No;2;2;Coche;30.92;Obesidad
Hombre;57;194;110;Si;2;3;Coche;29.23;Sobrepeso
Hombre;18;170;58;Si;4;13;Transporte_Publico;20.07;Normal
Mujer;27;163;84;No;0;3;Transporte_Publico;31.62;Obesidad
Mujer;46;146;28;No;3;8;Transporte_Publico;13.14;Delgadez
Hombre;42;151;71;No;2;1;Coche;31.14;Obesidad
Hombre;54;146;40;Si;3;7;Coche;18.77;Normal
Mujer;37;189;114;Si;0;4;Transporte_Publico;31.91;Obesidad
Mujer;38;158;76;Si;0;4;Transporte_Publico;30.44;Obesidad
Hombre;27;187;102;No;2;4;Transporte_Publico;29.17;Sobrepeso
Mujer;43;195;91;No;5;11;Transporte_Publico;23.93;Normal
Mujer;21;190;78;No;2;14;Transporte_Publico;21.61;Normal
Hombre;49;163;60;Si;2;13;Transporte_Publico;22.58;Normal
Hombre;53;157;82;No;0;4;Transporte_Publico;33.27;Obesidad
Mujer;22;151;46;Si;2;8;Transporte_Publico;20.17;Normal
Hombre;58;149;35;Si;3;3;Transporte_Publico;15.77;Delgadez
Hombre;48;158;52;No;4;9;Transporte_Publico;20.83;Normal
Hombre;35;152;53;Si;3;11;Transporte_Publico;22.94;Normal
Mujer;38;190;110;Si;1;4;Transporte_Publico;30.47;Obesidad
Hombre;44;184;97;Si;1;3;Transporte_Publico;28.65;Sobrepeso
Mujer;26;180;71;Si;3;10;Transporte_Publico;21.91;Normal
Mujer;22;176;72;Si;4;12;Coche;23.24;Normal
Hombre;35;184;95;Si;2;4;Transporte_Publico;28.06;Sobrepeso
Hombre;53;152;46;No;5;10;Transporte_Publico;19.91;Normal
Hombre;54;147;67;No;2;3;Transporte_Publico;31.01;Obesidad
Hombre;36;154;77;No;0;4;Transporte_Publico;32.47;Obesidad
Hombre;34;195;81;Si;2;10;Transporte_Publico;21.3;Normal
Hombre;53;173;78;Si;1;3;Transporte_Publico;26.06;Sobrepeso
Mujer;28;188;111;Si;2;4;Transporte_Publico;31.41;Obesidad
Hombre;33;185;70;Si;4;11;Coche;20.45;Normal
Mujer;39;146;41;No;5;13;Transporte_Publico;19.23;Normal
Hombre;64;189;92;Si;2;4;Coche;25.76;Sobrepeso
Hombre;51;165;83;No;2;1;Coche;30.49;Obesidad
Hombre;33;161;55;No;4;11;Transporte_Publico;21.22;Normal
Hombre;42;190;97;No;1;3;Transporte_Publico;26.87;Sobrepeso
Mujer;21;176;94;No;2;4;Coche;30.35;Obesidad
Hombre;20;158;79;No;0;3;Transporte_Publico;31.65;Obesidad
Mujer;25;147;70;No;2;4;Transporte_Publico;32.39;Obesidad
Mujer;19;163;66;Si;3;9;Transporte_Publico;24.84;Normal
Mujer;34;175;68;No;4;10;Transporte_Publico;22.2;Normal
Mujer;34;166;55;Si;3;13;Transporte_Publico;19.96;Normal
Hombre;58;165;67;No;3;8;Transporte_Publico;24.61;Normal
Hombre;21;184;82;Si;4;13;Transporte_Publico;24.22;Normal
Mujer;53;150;63;No;2;3;Coche;28;Sobrepeso
Mujer;61;164;81;Si;2;1;Coche;30.12;Obesidad
Mujer;48;197;113;Si;1;3;Coche;29.12;Sobrepeso
Mujer;34;184;106;Si;2;4;Coche;31.31;Obesidad
Hombre;23;167;55;Si;3;7;Coche;19.72;Normal
Hombre;25;163;57;No;4;14;Coche;21.45;Normal
Mujer;28;167;74;Si;1;3;Transporte_Publico;26.53;Sobrepeso
Mujer;27;149;64;Si;2;4;Transporte_Publico;28.83;Sobrepeso
Hombre;42;162;75;Si;2;4;Transporte_Publico;28.58;Sobrepeso
Hombre;27;174;67;No;5;7;Coche;22.13;Normal
Hombre;55;161;68;No;2;6;Transporte_Publico;26.23;Sobrepeso
Hombre;29;190;94;No;2;5;Transporte_Publico;26.04;Sobrepeso
Hombre;57;169;89;No;1;4;Transporte_Publico;31.16;Obesidad
Mujer;54;147;62;No;2;6;Coche;28.69;Sobrepeso
Hombre;45;166;52;No;4;11;Transporte_Publico;18.87;Normal
Hombre;60;191;103;Si;2;5;Coche;28.23;Sobrepeso
Hombre;29;196;105;Si;2;4;Coche;27.33;Sobrepeso
Hombre;34;186;108;No;1;4;Coche;31.22;Obesidad
Mujer;23;167;76;No;1;6;Transporte_Publico;27.25;Sobrepeso
Mujer;59;155;60;No;2;14;Transporte_Publico;24.97;Normal
Hombre;53;190;79;No;5;8;Coche;21.88;Normal
Hombre;23;164;85;No;2;1;Transporte_Publico;31.6;Obesidad
Hombre;35;182;93;No;2;5;Transporte_Publico;28.08;Sobrepeso
Hombre;40;191;86;No;4;14;Transporte_Publico;23.57;Normal
Hombre;24;182;87;Si;1;6;Transporte_Publico;26.26;Sobrepeso
Hombre;29;197;81;No;5;12;Transporte_Publico;20.87;Normal
Hombre;28;169;50;No;3;3;Transporte_Publico;17.51;Delgadez
Hombre;44;160;47;Si;3;6;Coche;18.36;Delgadez
Hombre;35;197;109;Si;2;3;Transporte_Publico;28.09;Sobrepeso
Hombre;55;164;68;No;1;4;Transporte_Publico;25.28;Sobrepeso
Hombre;27;169;88;Si;2;3;Coche;30.81;Obesidad
Hombre;58;157;58;Si;5;14;Transporte_Publico;23.53;Normal
Hombre;44;191;95;No;1;3;Transporte_Publico;26.04;Sobrepeso
Mujer;26;185;68;Si;5;9;Transporte_Publico;19.87;Normal
Mujer;35;147;49;Si;2;12;Coche;22.68;Normal
Mujer;44;185;87;No;2;6;Coche;25.42;Sobrepeso
Hombre;51;166;57;Si;5;11;Transporte_Publico;20.69;Normal
Hombre;57;170;78;Si;2;5;Coche;26.99;Sobrepeso
Mujer;58;173;97;Si;0;2;Coche;32.41;Obesidad
Hombre;33;158;67;Si;1;6;Transporte_Publico;26.84;Sobrepeso
Hombre;38;169;50;No;1;3;Transporte_Publico;17.51;Delgadez
Hombre;41;146;66;No;0;4;Coche;30.96;Obesidad
Hombre;25;161;83;No;2;2;Coche;32.02;Obesidad
Mujer;55;169;70;No;5;7;Transporte_Publico;24.51;Normal
Mujer;45;186;91;Si;2;3;Transporte_Publico;26.3;Sobrepeso
Mujer;50;167;62;Si;3;13;Coche;22.23;Normal
Mujer;43;174;73;Si;2;9;Coche;24.11;Normal
Mujer;36;170;95;Si;1;2;Transporte_Publico;32.87;Obesidad
Mujer;38;148;41;Si;4;9;Transporte_Publico;18.72;Normal
Hombre;53;194;97;No;2;4;Transporte_Publico;25.77;Sobrepeso
Hombre;19;186;97;Si;2;3;Transporte_Publico;28.04;Sobrepeso
Mujer;35;178;62;No;2;13;Transporte_Publico;19.57;Normal
Mujer;51;185;97;No;2;3;Transporte_Publico;28.34;Sobrepeso
Mujer;53;154;54;Si;4;11;Coche;22.77;Normal
Hombre;48;168;90;No;1;4;Transporte_Publico;31.89;Obesidad
Hombre;58;197;115;Si;1;6;Transporte_Publico;29.63;Sobrepeso
Mujer;54;161;79;No;2;2;Transporte_Publico;30.48;Obesidad
Mujer;33;185;93;No;1;5;Transporte_Publico;27.17;Sobrepeso
Hombre;25;170;55;Si;5;11;Coche;19.03;Normal
Mujer;39;193;103;No;2;3;Coche;27.65;Sobrepeso
Hombre;53;184;95;No;1;5;Transporte_Publico;28.06;Sobrepeso
Mujer;60;170;93;No;2;2;Coche;32.18;Obesidad
Hombre;36;150;65;No;1;4;Coche;28.89;Sobrepeso
Hombre;22;192;101;No;2;5;Transporte_Publico;27.4;Sobrepeso
Hombre;40;148;42;No;2;9;Coche;19.17;Normal
Hombre;65;146;27;Si;3;3;Transporte_Publico;12.67;Delgadez
Hombre;58;195;102;Si;2;6;Transporte_Publico;26.82;Sobrepeso
Hombre;47;171;62;Si;3;12;Coche;21.2;Normal
Mujer;25;174;78;No;1;6;Transporte_Publico;25.76;Sobrepeso
Mujer;53;174;85;No;1;6;Transporte_Publico;28.08;Sobrepeso
Mujer;24;171;56;No;2;7;Transporte_Publico;19.15;Normal
Mujer;48;151;61;Si;1;3;Coche;26.75;Sobrepeso
Mujer;47;157;49;No;4;14;Coche;19.88;Normal
Hombre;46;178;62;Si;4;14;Coche;19.57;Normal
Mujer;41;167;92;Si;1;3;Transporte_Publico;32.99;Obesidad
Hombre;44;153;69;Si;1;4;Transporte_Publico;29.48;Sobrepeso
Hombre;26;149;31;Si;3;3;Transporte_Publico;13.96;Delgadez
Mujer;59;169;72;No;2;4;Transporte_Publico;25.21;Sobrepeso
Hombre;46;196;102;No;2;3;Transporte_Publico;26.55;Sobrepeso
Hombre;53;168;79;No;2;5;Transporte_Publico;27.99;Sobrepeso
Mujer;59;167;89;Si;1;1;Transporte_Publico;31.91;Obesidad
Mujer;51;159;63;No;2;11;Transporte_Publico;24.92;Normal
Hombre;21;197;81;Si;3;14;Transporte_Publico;20.87;Normal
Hombre;37;162;77;Si;1;3;Transporte_Publico;29.34;Sobrepeso
Hombre;29;191;97;No;1;4;Transporte_Publico;26.59;Sobrepeso
Hombre;47;168;69;No;4;12;Transporte_Publico;24.45;Normal
Hombre;51;192;80;No;2;9;Transporte_Publico;21.7;Normal
Hombre;39;177;101;Si;1;3;Transporte_Publico;32.24;Obesidad
Mujer;60;194;74;Si;4;13;Transporte_Publico;19.66;Normal
Mujer;43;179;61;No;3;9;Transporte_Publico;19.04;Normal
Hombre;22;189;91;Si;1;3;Transporte_Publico;25.48;Sobrepeso
Hombre;37;152;70;Si;0;2;Transporte_Publico;30.3;Obesidad
Hombre;59;177;75;No;3;8;Transporte_Publico;23.94;Normal
Mujer;23;197;97;No;4;7;Coche;24.99;Normal
Mujer;35;179;87;Si;1;5;Coche;27.15;Sobrepeso
Hombre;43;198;85;Si;5;10;Transporte_Publico;21.68;Normal
Mujer;34;192;108;Si;2;5;Coche;29.3;Sobrepeso
Mujer;56;155;40;No;2;3;Coche;16.65;Delgadez
Hombre;24;174;72;Si;3;9;Transporte_Publico;23.78;Normal
Hombre;23;170;72;No;2;8;Transporte_Publico;24.91;Normal
Hombre;18;165;65;Si;2;9;Coche;23.88;Normal
Mujer;53;197;95;Si;4;10;Transporte_Publico;24.48;Normal
Hombre;54;187;84;No;2;13;Coche;24.02;Normal
Hombre;19;154;37;No;2;3;Coche;15.6;Delgadez
Mujer;40;176;73;No;3;8;Transporte_Publico;23.57;Normal
Hombre;54;174;79;No;2;6;Transporte_Publico;26.09;Sobrepeso
Hombre;56;166;87;Si;0;4;Transporte_Publico;31.57;Obesidad
Mujer;62;197;98;Si;1;5;Transporte_Publico;25.25;Sobrepeso
Hombre;39;159;47;No;5;13;Transporte_Publico;18.59;Normal
Hombre;51;168;52;Si;2;3;Transporte_Publico;18.42;Delgadez
Hombre;57;182;90;Si;1;5;Transporte_Publico;27.17;Sobrepeso
Hombre;45;196;80;Si;3;10;Coche;20.82;Normal
Hombre;38;189;89;No;2;11;Coche;24.92;Normal
Mujer;25;169;80;No;2;5;Transporte_Publico;28.01;Sobrepeso
Mujer;37;184;93;Si;2;6;Transporte_Publico;27.47;Sobrepeso
Mujer;31;149;37;Si;1;3;Coche;16.67;Delgadez
Mujer;23;163;53;Si;3;12;Coche;19.95;Normal
Mujer;26;165;58;Si;4;8;Transporte_Publico;21.3;Normal
Mujer;61;164;70;No;1;5;Transporte_Publico;26.03;Sobrepeso
Hombre;34;173;61;No;3;14;Transporte_Publico;20.38;Normal
Hombre;22;188;105;No;2;6;Transporte_Publico;29.71;Sobrepeso
Hombre;44;171;95;No;2;1;Transporte_Publico;32.49;Obesidad
Hombre;60;173;74;No;5;9;Transporte_Publico;24.73;Normal
Mujer;20;195;111;Si;1;6;Transporte_Publico;29.19;Sobrepeso
Mujer;30;146;68;Si;1;1;Transporte_Publico;31.9;Obesidad
Mujer;51;163;50;Si;3;14;Coche;18.82;Normal
Mujer;58;171;67;Si;4;8;Coche;22.91;Normal
Hombre;54;195;82;Si;4;7;Transporte_Publico;21.56;Normal
Hombre;58;184;80;Si;2;8;Transporte_Publico;23.63;Normal
Mujer;36;153;73;No;1;1;Transporte_Publico;31.18;Obesidad
Mujer;40;180;77;Si;4;10;Transporte_Publico;23.77;Normal
Mujer;50;175;68;Si;4;9;Transporte_Publico;22.2;Normal
Mujer;42;150;64;No;1;3;Transporte_Publico;28.44;Sobrepeso
Hombre;56;193;110;Si;2;6;Coche;29.53;Sobrepeso
Hombre;31;152;43;Si;2;8;Coche;18.61;Normal
Mujer;60;184;83;Si;5;14;Coche;24.52;Normal
Mujer;40;196;116;No;2;1;Coche;30.2;Obesidad
Hombre;38;188;107;Si;1;3;Transporte_Publico;30.27;Obesidad
Hombre;54;180;99;Si;2;3;Transporte_Publico;30.56;Obesidad
Mujer;40;179;84;Si;1;5;Coche;26.22;Sobrepeso
Mujer;58;189;112;Si;2;4;Coche;31.35;Obesidad
Hombre;24;197;117;Si;1;3;Coche;30.15;Obesidad
Hombre;23;154;53;Si;4;7;Coche;22.35;Normal
Hombre;47;193;114;No;0;2;Transporte_Publico;30.6;Obesidad
Hombre;33;151;50;Si;3;12;Transporte_Publico;21.93;Normal
Hombre;22;152;38;No;2;4;Coche;16.45;Delgadez
Hombre;35;152;70;Si;0;1;Coche;30.3;Obesidad
Hombre;47;178;63;Si;3;8;Transporte_Publico;19.88;Normal
Hombre;38;188;76;No;4;10;Transporte_Publico;21.5;Normal
Hombre;57;150;55;Si;5;12;Coche;24.44;Normal
Hombre;36;178;86;No;2;5;Coche;27.14;Sobrepeso
Mujer;36;195;100;No;1;5;Transporte_Publico;26.3;Sobrepeso
Mujer;44;174;77;No;2;6;Transporte_Publico;25.43;Sobrepeso
Mujer;65;151;51;No;3;8;Transporte_Publico;22.37;Normal
Mujer;18;175;57;Si;4;13;Transporte_Publico;18.61;Normal
Mujer;41;175;57;Si;3;11;Coche;18.61;Normal
Mujer;41;197;103;Si;2;4;Coche;26.54;Sobrepeso
Hombre;22;162;66;No;2;3;Coche;25.15;Sobrepeso
Hombre;36;188;98;No;1;4;Coche;27.73;Sobrepeso
Mujer;54;165;49;No;2;8;Transporte_Publico;18;Delgadez
Mujer;40;182;92;Si;1;5;Transporte_Publico;27.77;Sobrepeso
Hombre;33;188;110;Si;0;3;Transporte_Publico;31.12;Obesidad
Hombre;31;188;91;Si;1;3;Transporte_Publico;25.75;Sobrepeso
Mujer;43;156;76;No;1;2;Transporte_Publico;31.23;Obesidad
Mujer;54;160;57;Si;4;8;Transporte_Publico;22.27;Normal
Hombre;42;163;66;No;4;7;Transporte_Publico;24.84;Normal
Hombre;63;151;41;No;2;2;Transporte_Publico;17.98;Delgadez
Mujer;47;157;78;No;1;1;Transporte_Publico;31.64;Obesidad
Mujer;26;147;33;No;2;5;Transporte_Publico;15.27;Delgadez
Hombre;56;176;81;No;1;5;Transporte_Publico;26.15;Sobrepeso
Hombre;50;146;27;Si;3;2;Transporte_Publico;12.67;Delgadez
Hombre;36;184;75;No;4;13;Transporte_Publico;22.15;Normal
Hombre;30;177;87;No;1;6;Transporte_Publico;27.77;Sobrepeso
Hombre;22;151;58;Si;2;3;Transporte_Publico;25.44;Sobrepeso
Hombre;23;193;75;No;3;9;Transporte_Publico;20.13;Normal
Mujer;28;147;46;No;3;8;Transporte_Publico;21.29;Normal
Mujer;21;183;86;Si;2;6;Transporte_Publico;25.68;Sobrepeso
Hombre;23;147;35;No;1;7;Transporte_Publico;16.2;Delgadez
Hombre;37;162;70;Si;1;3;Transporte_Publico;26.67;Sobrepeso
Hombre;56;193;77;No;2;14;Transporte_Publico;20.67;Normal
Hombre;42;158;77;No;1;4;Transporte_Publico;30.84;Obesidad
Mujer;28;179;91;Si;2;6;Coche;28.4;Sobrepeso
Mujer;22;187;73;No;2;8;Coche;20.88;Normal
Hombre;49;187;67;No;4;11;Transporte_Publico;19.16;Normal
Hombre;61;189;88;No;3;13;Transporte_Publico;24.64;Normal
Mujer;60;174;75;Si;5;10;Coche;24.77;Normal
Mujer;47;183;80;No;4;8;Coche;23.89;Normal
Hombre;52;184;92;Si;1;4;Transporte_Publico;27.17;Sobrepeso
